source,target,weight
#Sverigeupproret#,fyens.dk,1
"1,8 Miljoner Missnöjda",berlingske.dk,1
112Nyt,nan,1
180Grader,180grader.dk,112
24NYT,24nyt.dk,191
24NYT,nan,1
24NYT,twitter,111
2860 Søborg uden filter.,nan,3
4130 Viby Sjælland,facebook,1
4130 Viby Sjælland,nan,7
4200 Alt er Tilladt,nan,3
4200 Alt er Tilladt,nyheder.tv2.dk,1
5G - Copenhagen Under Attack,nan,4
:: Hjalmar Sand :: 🇸🇪🇺🇦🇫🇮,gp.se,1
@Kix,gota.media,1
@teleflamsa,twitter,1
AArhus Net Avis på Facebook,dr.dk,2
AArhus Net Avis på Facebook,nan,3
AArhus Net Avis på Facebook,stiften.dk,1
ALG,24nyt.dk,1
AWSvensson,youtube,1
Aalborg diskuterer politik,aalborg.enhedslisten.dk,11
Aalborg diskuterer politik,altinget.dk,4
Aalborg diskuterer politik,borgerforslag.dk,1
Aalborg diskuterer politik,bt.dk,1
Aalborg diskuterer politik,dr.dk,8
Aalborg diskuterer politik,e-pages.dk,3
Aalborg diskuterer politik,effektivtlandbrug.landbrugnet.dk,1
Aalborg diskuterer politik,facebook,5
Aalborg diskuterer politik,information.dk,3
Aalborg diskuterer politik,nan,60
Aalborg diskuterer politik,nordjyske.dk,1
Aalborg diskuterer politik,nyheder.tv2.dk,1
Aalborg diskuterer politik,politiken.dk,4
"Aarhus, Smilets By",facebook,6
"Aarhus, Smilets By",nan,2
"Aarhus, Smilets By",tv2ostjylland.dk,1
Abatur Rama,nan,1
Afskaf Det Danske Kongehus!,berlingske.dk,1
Afskaf Det Danske Kongehus!,dr.dk,1
Afskaf Det Danske Kongehus!,nyheder.tv2.dk,1
Afskaf Det Danske Kongehus!,politiken.dk,1
Aftenshowet - DR,dr.dk,14
Aftenshowet - DR,facebook,28
Aftenshowet - DR,nan,1
Agnes Malm,gota.media,1
Agneta🌺Carlquist,di.se,1
Aharon a,varldenidag.se,1
Alan Rene - Nye Borgerlige,ing.dk,1
Alan Rene - Nye Borgerlige,mm.dk,1
Alberte Rasmussen,nan,3
Alex Vanopslagh,berlingske.dk,1
Alex Vanopslagh,ekstrabladet.dk,1
Alex Vanopslagh,facebook,1
Alex Vanopslagh,jyllands-posten.dk,2
Alex Vanopslagh,nan,14
Alex Vanopslagh,nyheder.tv2.dk,1
Altermedia Danmark,nan,1
Alternativets Unge,berlingske.dk,2
Alternativets Unge,dr.dk,3
Alternativets Unge,facebook,20
Alternativets Unge,information.dk,3
Alternativets Unge,jyllands-posten.dk,1
Alternativets Unge,nan,29
Alternativets Unge,nyheder.tv2.dk,1
Alternativets Unge,politiken.dk,1
An-Magritt W. Nygaard-Ech 🌐,nan,2
An-Magritt W. Nygaard-Ech 🌐,samnytt.se,1
Anastasia Dahl - Dansk Folkeparti,berlingske.dk,1
Anastasia Dahl - Dansk Folkeparti,bt.dk,1
Anastasia Dahl - Dansk Folkeparti,ditoverblik.dk,1
Anastasia Dahl - Dansk Folkeparti,dr.dk,2
Anastasia Dahl - Dansk Folkeparti,ekstrabladet.dk,2
Anastasia Dahl - Dansk Folkeparti,facebook,1
Anastasia Dahl - Dansk Folkeparti,nan,3
Anastasia Dahl - Dansk Folkeparti,nettavisen.no,1
Anastasia Dahl - Dansk Folkeparti,nyheder.tv2.dk,1
Anders,nan,1
"Anders Dahlqvist, klimatbejakare",twitter,1
"Anders Dahlqvist, klimatbejakare",youtube,1
Anders G. Christensen,nan,2
Anders Gravers Pedersen,jyllands-posten.dk,1
Anders Schildt 🇸🇪🇺🇸⛵️Ⓜ️,di.se,2
Anders Schildt 🇸🇪🇺🇸⛵️Ⓜ️,nan,1
Anders Thalin 🇸🇪 🇩🇰 🇮🇱,gota.media,1
Andreas Lehoczky,gota.media,1
Anette Svindborg - Dansk Folkeparti,dr.dk,1
Anette Svindborg - Dansk Folkeparti,information.dk,1
Anette Svindborg - Dansk Folkeparti,nan,1
Anette Svindborg - Dansk Folkeparti,nyheder.tv2.dk,1
Anette Svindborg - Dansk Folkeparti,stiften.dk,1
Anette Svindborg - Dansk Folkeparti,tv2ostjylland.dk,1
Anja Karlsson - Byrådsmedlem Varde Kommune,nan,1
Anja Martha Gosc,berlingske.dk,1
Ann Markström Ⓟ,bit.ly,1
